sample,type,density
plastic,Inside_GPGP,0.44926607
plastic,Inside_GPGP,0.43725449
plastic,Inside_GPGP,0.39725315
plastic,Inside_GPGP,0.58122431
plastic,Inside_GPGP,0.23599286
plastic,Inside_GPGP,0.56981741
plastic,Inside_GPGP,0.60431466
plastic,Inside_GPGP,1.14299703
plastic,Inside_GPGP,0.43187373
plastic,Inside_GPGP,0.73286006
plastic,Inside_GPGP,0.746657
plastic,Inside_GPGP,0.42189223
plastic,Inside_GPGP,0.47309729
plastic,Inside_GPGP,0.32395818
plastic,Inside_GPGP,0.25768381
plastic,Inside_GPGP,0.26721689
plastic,Inside_GPGP,0.74251588
plastic,Inside_GPGP,0.18215764
plastic,Inside_GPGP,0.03754299
plastic,Inside_GPGP,0.07045908
plastic,Inside_GPGP,0.05050255
plastic,Inside_GPGP,0.05051315
plastic,Inside_GPGP,0.01832329
plastic,Inside_GPGP,0.03700464
plastic,Inside_GPGP,0.03441165
plastic,Inside_GPGP,0.03549342
plastic,Inside_GPGP,0.0936075
plastic,Inside_GPGP,0.03554081
plastic,Inside_GPGP,0.03063472
plastic,Inside_GPGP,0.08459589
plastic,Inside_GPGP,0.078836
plastic,Inside_GPGP,0.19308855
plastic,Inside_GPGP,0.31543655
plastic,Inside_GPGP,0.25965255
plastic,Inside_GPGP,0.29188896
plastic,Inside_GPGP,0.18915829
plastic,Inside_GPGP,1.04991453
plastic,Inside_GPGP,0.19613911
plastic,Inside_GPGP,0.54758025
plastic,Inside_GPGP,0.71303658
plastic,Inside_GPGP,0.53983949
plastic,Inside_GPGP,0.70885704
plastic,Inside_GPGP,0.14603083
plastic,Inside_GPGP,0.29783044
plastic,Inside_GPGP,0.27920118
plastic,Inside_GPGP,0.81834388
plastic,Inside_GPGP,0.35159376
plastic,Inside_GPGP,0.97117716
plastic,Inside_GPGP,0.84682259
plastic,Inside_GPGP,0.22895669
plastic,Inside_GPGP,0.26015843
plastic,Inside_GPGP,0.45540364
plastic,Inside_GPGP,0.36988261
plastic,Inside_GPGP,0.05557251
plastic,Inside_GPGP,0.06863835
plastic,Inside_GPGP,0.11512275
plastic,Inside_GPGP,0.14780925
plastic,Inside_GPGP,0.12580376
plastic,Inside_GPGP,0.23603384
plastic,Inside_GPGP,0.25129546
plastic,Inside_GPGP,0.34976187
plastic,Inside_GPGP,0.25039556
plastic,Inside_GPGP,0.16770337
plastic,Inside_GPGP,0.16718619
plastic,Inside_GPGP,0.20507596
plastic,Inside_GPGP,0.23550812
plastic,Inside_GPGP,0.29150266
plastic,Inside_GPGP,0.19299465
plastic,Inside_GPGP,0.04050049
plastic,Inside_GPGP,0.05334155
plastic,Inside_GPGP,0.07578326
plastic,Inside_GPGP,0.02475554
plastic,Inside_GPGP,0.04205022
plastic,Inside_GPGP,0.02822499
plastic,Inside_GPGP,0.04980999
plastic,Inside_GPGP,0.05606278
plastic,Inside_GPGP,0.13286988
plastic,Inside_GPGP,0.09229626
plastic,Inside_GPGP,0.07277184
plastic,Inside_GPGP,0.0907138
plastic,Inside_GPGP,0.30967125
plastic,Inside_GPGP,0.06092624
plastic,Inside_GPGP,0.02768766
plastic,Inside_GPGP,0.12412353
plastic,Inside_GPGP,0.56880697
plastic,Inside_GPGP,0.97356184
plastic,Inside_GPGP,0.48735148
plastic,Inside_GPGP,0.96383939
plastic,Inside_GPGP,0.18567931
plastic,Inside_GPGP,0.29241607
plastic,Inside_GPGP,0.47093624
plastic,Inside_GPGP,0.6641409
plastic,Inside_GPGP,3.13413432
plastic,Inside_GPGP,0.58694219
plastic,Inside_GPGP,0.9242596
plastic,Inside_GPGP,1.30526412
plastic,Inside_GPGP,1.09689509
plastic,Inside_GPGP,0.22869565
plastic,Inside_GPGP,0.76220462
plastic,Inside_GPGP,0.37582565
plastic,Inside_GPGP,0.06328496
plastic,Inside_GPGP,0.50781083
plastic,Inside_GPGP,1.73073543
plastic,Inside_GPGP,1.9668433
plastic,Inside_GPGP,3.51569172
plastic,Inside_GPGP,0.12235622
plastic,Inside_GPGP,0.02744547
plastic,Inside_GPGP,0.03181746
plastic,Inside_GPGP,0.02721144
plastic,Inside_GPGP,0.01858089
plastic,Inside_GPGP,0.01671278
plastic,Inside_GPGP,0.03737577
plastic,Inside_GPGP,0.01350448
plastic,Inside_GPGP,0.02831554
plastic,Inside_GPGP,0.05457334
plastic,Inside_GPGP,0.02008405
plastic,Inside_GPGP,0.00484376
plastic,Inside_GPGP,0.00993526
plastic,Inside_GPGP,0.06392804
plastic,Inside_GPGP,0.09798201
plastic,Inside_GPGP,0.06561603
plastic,Inside_GPGP,0.1718792
plastic,Inside_GPGP,0.23623733
plastic,Inside_GPGP,0.43346889
plastic,Inside_GPGP,0.12315125
plastic,Inside_GPGP,0.1302337
plastic,Inside_GPGP,0.11688483
plastic,Inside_GPGP,0.12270815
plastic,Inside_GPGP,0.27244763
plastic,Inside_GPGP,0.2517222
plastic,Inside_GPGP,0.16709457
plastic,Inside_GPGP,0.18604125
plastic,Inside_GPGP,0.11607028
plastic,Inside_GPGP,0.14093624
plastic,Inside_GPGP,0.07229433
plastic,Inside_GPGP,0.07299221
plastic,Inside_GPGP,0.09151885
plastic,Inside_GPGP,0.06775075
plastic,Inside_GPGP,0.06571073
plastic,Inside_GPGP,0.050251
plastic,Inside_GPGP,0.07400639
plastic,Inside_GPGP,0.05517405
plastic,Inside_GPGP,0.0880494
plastic,Inside_GPGP,0.08479155
plastic,Inside_GPGP,0.05006908
plastic,Inside_GPGP,0.20060761
plastic,Inside_GPGP,0.21439557
plastic,Inside_GPGP,0.22964869
plastic,Inside_GPGP,0.2886136
plastic,Inside_GPGP,0.49571769
plastic,Inside_GPGP,0.35404715
plastic,Inside_GPGP,0.23440799
plastic,Inside_GPGP,0.18779259
plastic,Inside_GPGP,0.04544032
plastic,Inside_GPGP,0.06929065
plastic,Inside_GPGP,0.10812503
plastic,Inside_GPGP,0.16128124
plastic,Inside_GPGP,0.11023349
plastic,Inside_GPGP,0.0945264
plastic,Inside_GPGP,0.12784052
plastic,Inside_GPGP,0.16986924
plastic,Inside_GPGP,0.28631542
plastic,Inside_GPGP,0.3418248
plastic,Inside_GPGP,0.2262914
plastic,Inside_GPGP,0.09989255
plastic,Inside_GPGP,0.09883167
plastic,Inside_GPGP,0.1858376
plastic,Inside_GPGP,0.10513907
plastic,Inside_GPGP,0.0771468
plastic,Inside_GPGP,0.04708604
plastic,Inside_GPGP,0.08439324
plastic,Inside_GPGP,0.07680148
plastic,Inside_GPGP,0.08510015
plastic,Inside_GPGP,0.17222541
plastic,Inside_GPGP,0.13023218
plastic,Inside_GPGP,0.11133019
plastic,Inside_GPGP,0.14975605
plastic,Inside_GPGP,0.90949647
plastic,Inside_GPGP,0.21185742
plastic,Inside_GPGP,0.21644166
plastic,Inside_GPGP,0.20525464
plastic,Inside_GPGP,0.15614735
plastic,Inside_GPGP,0.22147627
plastic,Inside_GPGP,0.16944994
plastic,Inside_GPGP,0.14468539
plastic,Inside_GPGP,0.15021118
plastic,Inside_GPGP,0.27742567
plastic,Inside_GPGP,0.21655736
plastic,Inside_GPGP,0.21810283
plastic,Inside_GPGP,0.10484961
plastic,Inside_GPGP,0.24395545
plastic,Inside_GPGP,0.13650936
plastic,Inside_GPGP,0.28403156
plastic,Inside_GPGP,0.18546769
plastic,Inside_GPGP,0.12424244
plastic,Inside_GPGP,0.07424058
plastic,Inside_GPGP,0.06093686
plastic,Inside_GPGP,0.09163108
plastic,Inside_GPGP,0.11427105
plastic,Inside_GPGP,0.15649379
plastic,Inside_GPGP,0.05335442
plastic,Inside_GPGP,0.26862912
plastic,Inside_GPGP,0.23841382
plastic,Inside_GPGP,0.21469774
plastic,Inside_GPGP,0.30848248
plastic,Inside_GPGP,0.06682165
plastic,Inside_GPGP,0.05069262
plastic,Inside_GPGP,0.11381469
plastic,Inside_GPGP,0.15606639
plastic,Inside_GPGP,0.35769968
plastic,Inside_GPGP,0.11553251
plastic,Inside_GPGP,0.12343971
plastic,Inside_GPGP,0.21393653
plastic,Inside_GPGP,0.37818818
plastic,Inside_GPGP,0.10298748
plastic,Inside_GPGP,0.06142361
plastic,Inside_GPGP,0.07716832
plastic,Inside_GPGP,0.144781
plastic,Inside_GPGP,0.23094643
plastic,Inside_GPGP,0.2441318
plastic,Inside_GPGP,0.22170431
plastic,Inside_GPGP,0.10587524
plastic,Inside_GPGP,0.1030049
plastic,Inside_GPGP,0.09741686
plastic,Inside_GPGP,0.18236423
plastic,Inside_GPGP,0.02472599
plastic,Inside_GPGP,0.05762473
plastic,Inside_GPGP,0.10749662
plastic,Inside_GPGP,0.05131864
plastic,Inside_GPGP,0.05573565
plastic,Inside_GPGP,0.05657133
plastic,Inside_GPGP,0.05032106
plastic,Inside_GPGP,0.04851035
plastic,Inside_GPGP,0.04837972
plastic,Inside_GPGP,0.03002919
plastic,Inside_GPGP,0.02966145
plastic,Inside_GPGP,0.02849494
plastic,Inside_GPGP,0.06876028
plastic,Inside_GPGP,0.03701356
plastic,Inside_GPGP,0.03842111
plastic,Inside_GPGP,0.04258018
plastic,Inside_GPGP,0.02038316
plastic,Inside_GPGP,0.04880293
plastic,Inside_GPGP,0.01650752
plastic,Inside_SLICK,0.1433121
plastic,Inside_SLICK,0.8060654
plastic,Inside_SLICK,0.0394690
plastic,Inside_SLICK,0.0460405
plastic,Inside_SLICK,0.0312678
plastic,Inside_SLICK,0.0361011
plastic,Inside_SLICK,0.1601240
plastic,Inside_SLICK,0.0601685
plastic,Inside_SLICK,0.0323625
plastic,Inside_SLICK,0.1168614
plastic,Inside_SLICK,0.0108774
plastic,Inside_SLICK,0.0229674
plastic,Inside_SLICK,0.0793651
plastic,Inside_SLICK,0.0330688
plastic,Inside_SLICK,0.0030760
plastic,Inside_SLICK,0.0346706
plastic,Inside_SLICK,0.1349892
plastic,Inside_SLICK,0.0391134
plastic,Inside_SLICK,0.0428082
plastic,Inside_SLICK,0.0266022
plastic,Inside_SLICK,3.0040486
plastic,Inside_SLICK,1.1436070
plastic,Inside_SLICK,0.0599829
plastic,Inside_SLICK,0.2294990
plastic,Inside_SLICK,0.0832886
plastic,Inside_SLICK,0.3329506
plastic,Inside_SLICK,0.0000000
plastic,Inside_SLICK,0.0111638
plastic,Inside_SLICK,0.0000000
plastic,Inside_SLICK,0.0631473
plastic,Inside_SLICK,0.0102171
plastic,Inside_SLICK,0.0000000
plastic,Inside_SLICK,0.4525965
plastic,Inside_SLICK,0.3427214
plastic,Inside_SLICK,0.4352094
plastic,Inside_SLICK,154.2484725
plastic,Inside_SLICK,1.1689071
plastic,Inside_SLICK,0.2629758
plastic,Inside_SLICK,0.0328358
plastic,Inside_SLICK,0.3474212
plastic,Inside_SLICK,0.2290598
plastic,Inside_SLICK,0.0000000
plastic,Inside_SLICK,0.0810889
plastic,Inside_SLICK,0.0767690
plastic,Inside_SLICK,0.0694025
plastic,Inside_SLICK,0.0000000
plastic,Inside_SLICK,0.2630268
plastic,Inside_SLICK,0.0245806
plastic,Inside_SLICK,0.0221190
plastic,Inside_SLICK,0.0062798
plastic,Inside_SLICK,0.9297138
plastic,Inside_SLICK,0.0149770
